"sep=,"
FrameID,MessageSentTimeLocalMachine1,MessageSentTimeVM1,MessageSentTimeVM2,MessageSentTimeLocalMachine2,MessageSendRate,LatencyEndToEnd
1645,1750947104116,1750947104116,0,1750947104116,10,0
1646,1750947104125,1750947104126,0,1750947104126,9,1
1647,1750947104136,1750947104136,0,1750947104136,10,0
1648,1750947104146,1750947104146,0,1750947104146,10,0
1649,1750947104155,1750947104155,0,1750947104156,9,1
1650,1750947104166,1750947104166,0,1750947104166,11,0
1651,1750947104176,1750947104176,0,1750947104177,10,1
1652,1750947104186,1750947104186,0,1750947104186,10,0
1653,1750947104195,1750947104196,0,1750947104196,9,1
1654,1750947104206,1750947104206,0,1750947104206,11,0
1655,1750947104216,1750947104216,0,1750947104216,10,0
1656,1750947104225,1750947104225,0,1750947104226,9,1
1657,1750947104236,1750947104236,0,1750947104236,11,0
1658,1750947104246,1750947104246,0,1750947104246,10,0
1659,1750947104256,1750947104256,0,1750947104256,10,0
1660,1750947104266,1750947104266,0,1750947104266,10,0
1661,1750947104276,1750947104276,0,1750947104276,10,0
1662,1750947104285,1750947104286,0,1750947104286,9,1
1663,1750947104296,1750947104296,0,1750947104296,10,0
1664,1750947104306,1750947104306,0,1750947104307,10,1
1665,1750947104316,1750947104316,0,1750947104316,10,0
1666,1750947104326,1750947104326,0,1750947104326,10,0
1667,1750947104336,1750947104336,0,1750947104337,10,1
1668,1750947104346,1750947104346,0,1750947104346,10,0
1669,1750947104356,1750947104356,0,1750947104356,10,0
1670,1750947104365,1750947104366,0,1750947104366,9,1
1671,1750947104376,1750947104376,0,1750947104376,11,0
1672,1750947104386,1750947104386,0,1750947104387,10,1
1673,1750947104395,1750947104396,0,1750947104396,9,1
1674,1750947104406,1750947104406,0,1750947104407,10,1
1675,1750947104415,1750947104415,0,1750947104416,9,1
1676,1750947104426,1750947104426,0,1750947104426,11,0
1677,1750947104436,1750947104436,0,1750947104437,10,1
1678,1750947104446,1750947104446,0,1750947104446,10,0
1679,1750947104456,1750947104456,0,1750947104456,10,0
1680,1750947104465,1750947104466,0,1750947104466,9,1
1681,1750947104476,1750947104476,0,1750947104476,11,0
1682,1750947104486,1750947104486,0,1750947104486,10,0
1683,1750947104495,1750947104495,0,1750947104496,9,1
1684,1750947104506,1750947104506,0,1750947104506,11,0
1685,1750947104516,1750947104516,0,1750947104516,10,0
1686,1750947104526,1750947104527,0,1750947104527,10,1
1687,1750947104536,1750947104536,0,1750947104536,10,0
1688,1750947104546,1750947104546,0,1750947104546,10,0
1689,1750947104555,1750947104555,0,1750947104556,9,1
1690,1750947104566,1750947104566,0,1750947104566,11,0
1691,1750947104576,1750947104576,0,1750947104576,10,0
1692,1750947104586,1750947104586,0,1750947104586,10,0
1693,1750947104596,1750947104596,0,1750947104596,10,0
1694,1750947104606,1750947104606,0,1750947104606,10,0
1695,1750947104616,1750947104616,0,1750947104616,10,0
1696,1750947104626,1750947104626,0,1750947104626,10,0
1697,1750947104635,1750947104635,0,1750947104635,9,0
1698,1750947104646,1750947104646,0,1750947104646,11,0
1699,1750947104656,1750947104656,0,1750947104656,10,0
1700,1750947104665,1750947104665,0,1750947104666,9,1
1701,1750947104676,1750947104676,0,1750947104676,11,0
1702,1750947104686,1750947104686,0,1750947104686,10,0
1703,1750947104695,1750947104695,0,1750947104696,9,1
1704,1750947104705,1750947104706,0,1750947104706,10,1
1705,1750947104716,1750947104716,0,1750947104716,10,0
1706,1750947104726,1750947104726,0,1750947104726,10,0
1707,1750947104735,1750947104735,0,1750947104736,9,1
1708,1750947104746,1750947104746,0,1750947104746,11,0
1709,1750947104756,1750947104756,0,1750947104756,10,0
1710,1750947104765,1750947104766,0,1750947104766,9,1
1711,1750947104776,1750947104776,0,1750947104776,10,0
1712,1750947104786,1750947104786,0,1750947104787,10,1
1713,1750947104796,1750947104796,0,1750947104796,10,0
1714,1750947104806,1750947104806,0,1750947104806,10,0
1715,1750947104815,1750947104816,0,1750947104816,9,1
1716,1750947104826,1750947104826,0,1750947104826,11,0
1717,1750947104836,1750947104836,0,1750947104836,10,0
1718,1750947104846,1750947104846,0,1750947104846,10,0
1719,1750947104855,1750947104856,0,1750947104856,9,1
1720,1750947104866,1750947104866,0,1750947104866,10,0
1721,1750947104876,1750947104876,0,1750947104877,10,1
1722,1750947104886,1750947104886,0,1750947104886,10,0
1723,1750947104896,1750947104896,0,1750947104896,10,0
1724,1750947104905,1750947104905,0,1750947104906,9,1
1725,1750947104916,1750947104916,0,1750947104916,11,0
1726,1750947104926,1750947104926,0,1750947104926,10,0
1727,1750947104935,1750947104935,0,1750947104936,9,1
1728,1750947104946,1750947104946,0,1750947104946,11,0
1729,1750947104956,1750947104956,0,1750947104956,10,0
1730,1750947104966,1750947104966,0,1750947104967,10,1
1731,1750947104975,1750947104976,0,1750947104976,9,1
1732,1750947104986,1750947104986,0,1750947104986,10,0
1733,1750947104996,1750947104996,0,1750947104996,10,0
1734,1750947105005,1750947105006,0,1750947105006,9,1
1735,1750947105016,1750947105016,0,1750947105016,10,0
1736,1750947105026,1750947105026,0,1750947105026,10,0
1737,1750947105035,1750947105036,0,1750947105036,9,1
1738,1750947105046,1750947105046,0,1750947105046,10,0
1739,1750947105056,1750947105056,0,1750947105056,10,0
1740,1750947105066,1750947105066,0,1750947105066,10,0
1741,1750947105076,1750947105076,0,1750947105076,10,0
1742,1750947105085,1750947105085,0,1750947105085,9,0
1743,1750947105096,1750947105096,0,1750947105096,11,0
1744,1750947105106,1750947105106,0,1750947105106,10,0
1745,1750947105115,1750947105115,0,1750947105116,9,1
1746,1750947105126,1750947105126,0,1750947105126,11,0
1747,1750947105136,1750947105136,0,1750947105136,10,0
1748,1750947105145,1750947105145,0,1750947105146,9,1
1749,1750947105156,1750947105156,0,1750947105156,11,0
1750,1750947105166,1750947105166,0,1750947105166,10,0
1751,1750947105175,1750947105176,0,1750947105176,9,1
1752,1750947105186,1750947105186,0,1750947105186,11,0
1753,1750947105196,1750947105196,0,1750947105197,10,1
1754,1750947105205,1750947105206,0,1750947105206,9,1
1755,1750947105216,1750947105216,0,1750947105216,11,0
1756,1750947105226,1750947105226,0,1750947105226,10,0
1757,1750947105235,1750947105236,0,1750947105236,9,1
1758,1750947105246,1750947105246,0,1750947105246,10,0
1759,1750947105256,1750947105256,0,1750947105256,10,0
1760,1750947105265,1750947105265,0,1750947105266,9,1
1761,1750947105276,1750947105276,0,1750947105276,11,0
1762,1750947105286,1750947105286,0,1750947105286,10,0
1763,1750947105295,1750947105295,0,1750947105295,9,0
1764,1750947105305,1750947105306,0,1750947105306,10,1
1765,1750947105316,1750947105316,0,1750947105316,10,0
1766,1750947105326,1750947105326,0,1750947105326,10,0
1767,1750947105336,1750947105336,0,1750947105336,10,0
1768,1750947105346,1750947105346,0,1750947105346,10,0
1769,1750947105356,1750947105356,0,1750947105356,10,0
1770,1750947105366,1750947105366,0,1750947105366,10,0
1771,1750947105376,1750947105376,0,1750947105376,10,0
1772,1750947105385,1750947105386,0,1750947105386,9,1
1773,1750947105396,1750947105396,0,1750947105396,11,0
1774,1750947105406,1750947105406,0,1750947105407,10,1
1775,1750947105415,1750947105415,0,1750947105416,9,1
1776,1750947105425,1750947105426,0,1750947105426,10,1
1777,1750947105436,1750947105436,0,1750947105436,10,0
1778,1750947105446,1750947105446,0,1750947105446,10,0
1779,1750947105456,1750947105456,0,1750947105456,10,0
1780,1750947105466,1750947105466,0,1750947105466,10,0
1781,1750947105475,1750947105475,0,1750947105475,9,0
1782,1750947105486,1750947105486,0,1750947105486,11,0
1783,1750947105496,1750947105496,0,1750947105496,10,0
1784,1750947105506,1750947105506,0,1750947105506,10,0
1785,1750947105516,1750947105516,0,1750947105516,10,0
1786,1750947105526,1750947105526,0,1750947105526,10,0
1787,1750947105535,1750947105536,0,1750947105536,9,1
1788,1750947105546,1750947105546,0,1750947105546,10,0
1789,1750947105556,1750947105556,0,1750947105556,10,0
1790,1750947105565,1750947105566,0,1750947105566,9,1
1791,1750947105576,1750947105576,0,1750947105576,11,0
1792,1750947105586,1750947105586,0,1750947105586,10,0
1793,1750947105595,1750947105596,0,1750947105596,9,1
1794,1750947105606,1750947105606,0,1750947105606,10,0
1795,1750947105616,1750947105616,0,1750947105616,10,0
1796,1750947105625,1750947105625,0,1750947105625,9,0
1797,1750947105636,1750947105636,0,1750947105636,11,0
1798,1750947105646,1750947105646,0,1750947105646,10,0
1799,1750947105656,1750947105656,0,1750947105657,10,1
1800,1750947105666,1750947105666,0,1750947105666,10,0
1801,1750947105676,1750947105676,0,1750947105676,10,0
1802,1750947105685,1750947105686,0,1750947105686,9,1
1803,1750947105696,1750947105696,0,1750947105696,11,0
1804,1750947105706,1750947105706,0,1750947105706,10,0
1805,1750947105715,1750947105716,0,1750947105716,9,1
1806,1750947105726,1750947105726,0,1750947105726,10,0
1807,1750947105736,1750947105736,0,1750947105736,10,0
1808,1750947105746,1750947105746,0,1750947105747,10,1
1809,1750947105756,1750947105756,0,1750947105756,10,0
1810,1750947105766,1750947105766,0,1750947105767,10,1
